seed,spec,kind,outcome,output,baseline,exception,mutated_input_b64
219494902,1-bit-flip,bitflip,incorrect,3136,3134,,SGVsbG8sIHRoaXMiaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
199170184,1-bit-flip,bitflip,incorrect,3126,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3MDkw
815887678,1-bit-flip,bitflip,incorrect,3070,3134,,SCVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
207696843,1-bit-flip,bitflip,incorrect,3138,3134,,SGVsbG8sIHRsaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
770902343,1-bit-flip,bitflip,incorrect,3136,3134,,SGVsbG8sIHZoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
738639288,1-bit-flip,bitflip,incorrect,43483,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmVgZGF0YSAxMjM0NTY3ODkw
568054227,1-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
93309105,1-bit-flip,bitflip,incorrect,3138,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODk0
986607411,1-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
268062140,1-bit-flip,bitflip,incorrect,3136,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZ2xpbmUgZGF0YSAxMjM0NTY3ODkw
812896393,1-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
169222132,1-bit-flip,bitflip,incorrect,3166,3134,,aGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
629595552,1-bit-flip,bitflip,incorrect,3133,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZGxpbmUgZGF0YSAxMjM0NTY3ODkw
776605304,1-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
412936598,1-bit-flip,bitflip,incorrect,3135,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3OTkw
149368553,1-bit-flip,bitflip,incorrect,3150,3134,,SGVsbG8sIHR4aXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
98407116,1-bit-flip,bitflip,incorrect,3102,3134,,SGVsbG8sIFRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
489407815,1-bit-flip,bitflip,incorrect,3142,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0aSAxMjM0NTY3ODkw
621455910,1-bit-flip,bitflip,incorrect,3102,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbkUgZGF0YSAxMjM0NTY3ODkw
171351960,1-bit-flip,bitflip,incorrect,3135,3134,,SWVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
499914620,1-bit-flip,bitflip,incorrect,3102,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxJbmUgZGF0YSAxMjM0NTY3ODkw
216898920,1-bit-flip,bitflip,incorrect,42915,3134,,SGVsbG8sKHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
816314859,1-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
596943772,1-bit-flip,bitflip,incorrect,3102,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0QSAxMjM0NTY3ODkw
973691209,1-bit-flip,bitflip,incorrect,3150,3134,,WGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
783471136,1-bit-flip,bitflip,incorrect,3133,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGB0YSAxMjM0NTY3ODkw
